SMILES,logPapp
CC=C(C)C(=O)NC(c1ccccc1)C(O)C(=O)OC1CC2(O)C(OC(=O)c3cccc(N=[N+]=[N-])c3)C3C4(OC(C)=O)COC4CC(OC(=O)CC(F)(F)F)C3(C)C(=O)C(O)C(=C1C)C2(C)C,2.477121
Cc1cccc(C)c1OCC(C)N,2.449941
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,2.431364
C/C=C(\C)C(=O)N[C@@H](c1ccccc1)[C@@H](O)C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3cccc(N=[N+]=[N-])c3)[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](OC(=O)NC)[C@@]3(C)C(=O)[C@H](O)C(=C1C)C2(C)C,2.40654
COc1cccc2c1CCCC2CCCN1CCN(C2CCCCC2)CC1,2.397245
C=CCc1ccccc1OCC(O)CNC(C)C,2.380211
CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,2.342423
Cc1cc(=O)n(-c2ccccc2)n1C,2.332438
C[C@@H](O[C@H]1OCCN(Cc2nc(=O)[nH][nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,2.230449
COc1ccc2c(c1)C(=CCCN1CCc3cc(OC)c(OC)cc3C1)CCC2,2.220892
C[S@](=O)CCCCN=C=S,2.149219
CC=C(C)C(=O)NC(c1ccccc1)C(O)C(=O)OC1CC2(O)C(OC(=O)c3cccc(N=[N+]=[N-])c3)C3C4(OC(C)=O)COC4CC(OC(=O)CNC(=O)OC(C)(C)C)C3(C)C(=O)C(O)C(=C1C)C2(C)C,2.089905
O=C(O)CCCCCCCC(=O)O,2.079181
O=C(O)CCc1ccc(C#Cc2cc(Cl)nc(Cl)c2)cc1,2.049218
Cl.O=C(c1ccc(CN2CCOCC2)cc1)N1CCN(C2CC2)CC1,2.033424
c1ccc(Cn2nnnc2C(c2ccc(-n3cncn3)cc2)N2CCCN(C3CCC3)CC2)cc1,2.017033
CC(=O)N[C@@H](C(=O)NCCc1ccccc1)C(C)C,1.986772
CCC(=O)N[C@H]1CC[C@@H](C(=O)N(C)c2ccc(-c3nc4ccccc4o3)cc2)C1,1.973128
N#CCc1ccccc1C#Cc1ccc(CCC(=O)O)cc1,1.959041
COCC[C@H]1C[C@@H]1c1cncc(OC[C@@H]2CCCN2C)c1.O=C(O)C(F)(F)F,1.958564
C=CCn1c(=O)c2cccnc2n(CC=C)c1=O,1.957607
COc1cccc(OC)c1C(=O)/C=C/c1ccco1,1.955688
CC(C)(C)CC(=O)Nc1c(F)cc(C(=O)Nc2nccs2)cc1F,1.944483
Cc1ccccc1C#Cc1ccc(CCC(=O)O)cc1,1.939519
COc1cc2c(cc1OC)CN(CCCC1CCCc3cc(OC)c(OC)cc31)CC2,1.93852
O=C1c2ccccc2-n2c1nc1c(c2=O)CCCC1,1.931458
O=C(N[C@@H]1CCC[C@H](c2nc3ccccc3[nH]2)C1)c1ccc2c(c1)OCCO2,1.929419
CN(C)C1CCN(C(=O)c2ccc(Cn3c(-c4ccccc4)nc4ccccc43)cc2)C1,1.928908
C=C1c2ccccc2C(=O)N(C)c2ccc(O)cc21,1.925828
Nc1c(-c2ccc([C@H]3CC[C@H](CC(=O)O)CC3)cc2)cnc2ccnn12,1.924279
COc1ccc2c(c1)CCCC2CCCN1CCc2cc(OC)c(OC)cc2C1,1.91803
Cc1c2c(=O)n(-c3ccccc3)[nH]c2cc(=O)n1Cc1cccnc1,1.898725
O=C(c1nnc(-c2ccccc2)o1)N1CC(Oc2ccc(CN3CC4(COC4)C3)cc2)C1,1.897627
O=c1c2c(COCc3ccccc3)n(Cc3cnccn3)c(=O)cc2[nH]n1-c1ccccc1Cl,1.895423
O=C(c1ccc(Oc2ccc(F)cc2)nc1)N1CCCN(C2CCC2)CC1,1.892095
COc1cc2c(cc1OC)CN(Cc1ccc(-c3ccccc3)cc1)CC2,1.890421
COc1cc2c(cc1OC)CN(CCC=C1CCCCC1)CC2,1.888741
Oc1noc2cc(Cl)ccc12,1.886491
N#Cc1cccc(Oc2ccc(C(=O)N3CCCN(C4CCC4)CC3)cn2)c1,1.886491
Cc1cc(C(F)(F)F)c(-c2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)OCC3CCOC3)cc2)c(=O)n1C,1.883093
COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1O,1.881955
NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CCC(=O)N[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,1.880814
O=C1c2cc(Cl)ccc2-n2c1nc1ncccc1c2=O,1.868056
O=C1CC(=O)N(CCc2ccccc2)C(=O)N1CCc1ccccc1,1.865696
C[C@@H]1c2nnc(-c3ccccn3)n2CCN1C(=O)c1cccc(Cl)c1Cl,1.865696
O=C(NOC[C@H](O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F,1.861534
N#CCc1ccccc1C#Cc1ccc(CCC(=O)O)c(F)c1,1.857332
COc1cccc(-c2cccc(C3(C)CCSC(N)=N3)c2)c1,1.857332
N#Cc1cccc(Cn2cccn2)c1,1.856729
O=C(c1ccc(CN2CCOCC2)cc1)N1CCN(C2CCC2)CC1,1.85248
c1ccc(Cn2cnc3ccccc32)cc1,1.85187
COC[C@H]1CCCN1c1cc(NC(C)=O)nc(-n2nc(C)cc2C)n1,1.845098
CCN(C(=O)C(C)C)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,1.839478
C#CCNc1ccnc2sc3c(=O)n(-c4ccc(OC)cc4)cnc3c12,1.838849
CCN(C(=O)N1CCOCC1)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,1.833784
c1ccc(Cn2ccnc2)cc1,1.833147
N#Cc1cccc(Cn2ccnc2)c1,1.83123
